scorer,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000,DLC_resnet50_DhanuushAug8shuffle0_50000
bodyparts,iliac crest,iliac crest,iliac crest,hip,hip,hip,knee,knee,knee,ankle,ankle,ankle,mtp,mtp,mtp,toe,toe,toe
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
23,239.7124939,296.2606812,0.933068991,201.9786377,324.6021118,0.962816238,260.3747864,342.4338379,0.543216407,228.050766,354.0753174,0.844344914,198.4959259,366.0054626,0.880970478,173.1051483,376.0090637,0.945373654
24,240.0008392,296.2606812,0.920683384,203.2686157,324.6212769,0.953624845,261.1742554,342.2556152,0.526093245,228.1362457,354.0753174,0.862715304,199.1185455,366.0054626,0.899517536,173.684845,376.0090637,0.955698073
25,244.2201538,296.2606812,0.966534376,211.5697021,325.2960205,0.983985066,276.868988,339.5325012,0.568091571,236.0464325,353.3413696,0.897610962,203.1724701,364.5111084,0.94190979,173.684845,376.640686,0.942171752
26,244.7497253,296.2606812,0.972456157,214.1808777,325.2960205,0.988721013,277.2555237,339.5325012,0.54806304,237.6672363,353.6878357,0.889713287,205.2423248,363.587677,0.924874008,173.7003021,376.640686,0.93719703
27,245.5281219,296.0910645,0.969741881,214.531662,324.6212769,0.98575294,277.8005066,339.296875,0.523846507,238.6709595,353.3413696,0.901022732,205.5101318,363.504303,0.922974825,175.521225,376.640686,0.93303895
28,247.769577,295.9137268,0.947073817,215.3703918,324.6212769,0.975106001,278.736908,339.2127686,0.434213817,238.7604218,353.0662231,0.890794396,206.4994354,363.504303,0.90117228,176.131073,375.9391785,0.937001348
29,272.0201111,295.9137268,0.95108974,232.4603882,322.8254395,0.982911825,298.2268982,339.0657959,0.562402129,263.502533,351.9610596,0.800643981,219.3401337,363.587677,0.837945282,184.656723,375.8864441,0.897793889
30,292.7652283,296.0910645,0.953846753,249.1106415,322.0686951,0.967461824,311.7884827,338.3538513,0.628860593,286.7133179,351.302124,0.81184864,258.3605652,364.3768616,0.880954027,201.5431976,374.6572571,0.553672969
31,301.1916199,296.0910645,0.946029663,263.1708679,322.0686951,0.980707288,332.1960449,336.8705444,0.439755201,299.703064,351.302124,0.853991985,266.1255493,366.2700195,0.946267068,229.2532501,374.6572571,0.887323737
32,308.1294556,289.0521545,0.936855853,264.7520142,322.0686951,0.972938001,333.4867249,336.8705444,0.430172294,301.4420166,351.302124,0.833521068,266.2408447,366.6624146,0.959409118,232.3950653,374.6572571,0.956093967
33,318.5460205,287.9909973,0.873695552,288.2165527,323.4508362,0.961339474,358.8787537,338.2521057,0.559564114,330.7779846,352.415741,0.669900417,297.4319763,366.6624146,0.955160558,268.3556213,376.321106,0.933402121
34,347.4665833,297.3978577,0.91420877,296.6131897,323.9586487,0.947493136,374.6568604,338.3538513,0.6829862,345.1933594,352.8719482,0.702928483,308.303833,368.2276611,0.973064899,275.7165222,377.5075989,0.977832735
35,354.7228699,296.1838074,0.95812279,309.8921814,324.4769897,0.976816237,381.4711914,339.2246399,0.797980666,349.052887,353.7763672,0.73991555,325.7254944,369.1807556,0.83431828,287.3319702,378.4532471,0.671484232
36,358.0656738,296.1838074,0.949281752,325.3976135,325.642395,0.964528978,397.9499207,340.5465088,0.69113028,374.8883667,357.1221924,0.70063436,353.021698,371.4078674,0.690544546,320.6442871,381.0389099,0.411668867
37,366.8452759,301.005249,0.931221068,330.948822,324.9432678,0.938145459,399.7243652,342.1059265,0.763886034,378.5779419,357.1847229,0.765627265,356.5760498,374.1426086,0.636843681,337.7513123,385.0552673,0.690838635
38,367.1643372,301.7461853,0.924332082,331.6339722,325.017395,0.936025083,401.2930298,342.4944763,0.767106056,380.0499878,357.8776855,0.770915329,361.616272,374.2148743,0.739207089,337.8103027,385.0552673,0.759704232
39,367.588501,301.7461853,0.917578578,333.286499,328.1559753,0.923303962,401.5551758,342.5054321,0.751068234,384.7064514,357.9962158,0.750788271,361.8143005,374.3526001,0.801736057,338.1453247,385.0552673,0.737834752
40,368.3442688,301.7461853,0.948232651,335.1970825,325.2287292,0.944915891,402.3238831,345.6060181,0.801332355,384.7064514,358.074707,0.669915676,362.5090637,374.6417236,0.804131985,338.1453247,384.3799438,0.581881881
41,368.571991,301.7461853,0.956318736,338.0480042,325.017395,0.913351655,406.1583862,345.6060181,0.81603092,385.2518616,358.0906067,0.691169202,361.8143005,374.2148743,0.787495077,338.1453247,383.620575,0.574500263
42,374.8726501,299.639679,0.967681348,339.0229187,325.017395,0.973239541,406.2410583,345.8026428,0.796602428,387.964325,359.0503235,0.612683535,362.0520935,374.2148743,0.705041945,337.8055115,383.5595398,0.559167325
43,386.9589233,299.639679,0.912653267,352.1520691,324.7674561,0.928252399,418.1514893,345.6060181,0.812500954,389.6528015,359.0503235,0.716733515,362.5090637,373.6735535,0.923377812,337.8055115,379.6223755,0.828664124
44,388.9412231,299.639679,0.908012688,357.4898987,323.3690796,0.963767231,419.9545593,345.4950867,0.76449424,392.1636658,358.074707,0.777071118,362.6795654,372.0399475,0.967684388,337.8055115,378.6966553,0.852837384
45,397.3020935,301.0079651,0.919861913,364.3796997,320.9167786,0.957402229,424.0473633,343.1782227,0.737301707,398.3034668,354.7264404,0.779812157,369.6770935,370.1602783,0.870340645,347.2267456,377.5473938,0.761808753
46,399.8716736,301.8817444,0.916028321,371.3288879,318.1813354,0.950418413,430.4512634,341.289978,0.706481993,401.98526,354.0724487,0.829452693,372.8322449,369.4380493,0.897427082,349.3622437,374.4701233,0.84689343
47,405.4051514,302.3216553,0.918746114,372.7797852,316.6789246,0.962769151,432.2329102,340.5083313,0.632183254,404.3761902,353.854248,0.817050815,373.4403687,366.8989258,0.903755188,349.7919312,374.4475403,0.754712403
48,405.8177795,302.4952698,0.898685753,373.2719116,316.5569458,0.957931578,436.7042236,340.4026794,0.60690701,405.4458923,353.854248,0.757582486,373.7993774,366.8314819,0.904728413,349.9454041,374.4475403,0.75776881
49,406.3713989,302.4952698,0.920366943,374.2667847,316.5569458,0.967113197,437.296936,339.8665466,0.626219332,405.4563599,353.8484497,0.797853053,374.3526306,366.8314819,0.914255023,350.3060303,374.4701233,0.733792424
50,406.6999207,302.4952698,0.921136439,374.2740784,316.6789246,0.96462822,437.5362244,339.6782532,0.674215436,405.5042725,353.8484497,0.770571411,374.6245728,366.7909241,0.903376639,350.4780579,374.5840759,0.718835473
51,423.3798828,301.851593,0.95720017,386.6937256,316.5569458,0.945348084,450.678894,339.3092651,0.677864254,412.7279053,352.5379333,0.693318844,379.5587463,366.7387085,0.809172451,353.9739685,379.5046387,0.737440526
