scorer,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000,DLC_resnet50_Catwalk_DRGDec5shuffle1_50000
bodyparts,rf,rf,rf,lf,lf,lf,rh,rh,rh,lh,lh,lh
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
63,622.6837158,454.6556702,0.954255342,641.833374,451.9840698,0.487449825,614.0916138,479.0323792,0.981949687,655.3543091,479.0127563,0.954790592
64,621.859375,461.5084534,0.825513721,641.833374,451.9840698,0.21188049,614.0916138,479.0323792,0.986087382,655.3543091,479.0127563,0.960039794
65,621.6190186,469.6506958,0.387559235,650.8617554,469.972229,0.147750661,613.2648926,479.0323792,0.968839586,655.3543091,478.1229858,0.965518475
66,621.6190186,469.6506958,0.122066759,650.8617554,469.972229,0.103803933,613.2648926,478.3842773,0.976763844,655.4570313,477.9847107,0.959206283
67,622.6837158,469.6506958,0.129132509,650.8617554,469.972229,0.127689868,613.2645264,478.3237305,0.977786779,655.4570313,477.8838806,0.959754765
68,626.9116211,453.3816528,0.190375894,641.2098999,448.7505798,0.905097544,613.2648926,478.183136,0.977364957,655.4570313,477.9847107,0.955837071
69,626.9116211,438.8622437,0.283113986,641.2098999,437.9646606,0.928947747,613.3093872,478.1355286,0.986169457,654.5619507,478.1229858,0.961284995
70,626.9116211,430.3101196,0.884709358,641.2098999,423.4770813,0.78197515,614.2144165,475.6868896,0.990109026,653.6856079,477.8334961,0.958055496
71,626.9116211,415.3990479,0.923275054,641.8939819,420.631958,0.975081801,615.1080322,475.2583618,0.989459574,653.6856079,477.8334961,0.953565538
72,626.9116211,400.3425293,0.993398309,641.8939819,420.4924011,0.991354883,615.2251587,473.1892395,0.978581131,653.3096924,477.0849609,0.939619362
73,628.8075562,388.8053284,0.998235941,642.2015381,420.2545471,0.991044343,615.2504883,473.1156616,0.983883262,653.3096924,464.829834,0.939218163
74,628.8374023,388.7502441,0.998664737,642.5185547,420.06604,0.988357425,615.8047485,472.1380005,0.979077995,654.1427002,433.7756348,0.507978559
